Sample	Population	Super_Population	Sex
HG03797	BEB	SAS	Male
HG03802	BEB	SAS	Male
HG03803	BEB	SAS	Female
HG03805	BEB	SAS	Male
HG03809	BEB	SAS	Female
HG03812	BEB	SAS	Male
HG03814	BEB	SAS	Male
HG03821	BEB	SAS	Female
HG03824	BEB	SAS	Male
HG03830	BEB	SAS	Male
HG03836	STU	SAS	Male
HG03837	STU	SAS	Female
HG03838	STU	SAS	Male
HG03844	STU	SAS	Female
HG03848	STU	SAS	Male
HG03854	STU	SAS	Male
HG03856	STU	SAS	Male
HG03861	ITU	SAS	Male
HG03862	ITU	SAS	Female
HG03863	ITU	SAS	Female
HG03864	ITU	SAS	Female
HG03868	ITU	SAS	Male
HG03869	ITU	SAS	Female
HG03870	ITU	SAS	Male
HG03871	ITU	SAS	Male
HG03872	ITU	SAS	Male
HG03882	ITU	SAS	Male
HG03888	STU	SAS	Female
HG03890	STU	SAS	Female
HG03895	STU	SAS	Male
HG03898	STU	SAS	Female
HG03900	STU	SAS	Female
HG03904	BEB	SAS	Male
HG03916	BEB	SAS	Female
HG03919	BEB	SAS	Female
HG03925	BEB	SAS	Female
HG03928	BEB	SAS	Female
HG03929	BEB	SAS	Female
HG03931	BEB	SAS	Male
HG03940	BEB	SAS	Female
HG03941	BEB	SAS	Female
HG03947	STU	SAS	Male
HG03963	ITU	SAS	Female
HG03965	ITU	SAS	Male
HG03968	ITU	SAS	Male
HG03971	ITU	SAS	Female
HG03973	ITU	SAS	Male
HG03976	ITU	SAS	Female
HG03977	ITU	SAS	Male
HG03990	STU	SAS	Female
HG03999	STU	SAS	Male
HG04006	STU	SAS	Male
HG04014	ITU	SAS	Male
HG04015	ITU	SAS	Female
HG04017	ITU	SAS	Male
HG04018	ITU	SAS	Male
HG04020	ITU	SAS	Female
HG04022	ITU	SAS	Male
HG04039	STU	SAS	Male
HG04054	ITU	SAS	Male
HG04062	ITU	SAS	Female
HG04063	ITU	SAS	Female
HG04070	ITU	SAS	Female
HG04099	STU	SAS	Female
HG04131	BEB	SAS	Female
HG04132	BEB	SAS	Male
HG04140	BEB	SAS	Female
HG04146	BEB	SAS	Male
HG04147	BEB	SAS	Male
HG04177	BEB	SAS	Female
HG04180	BEB	SAS	Female
HG04183	BEB	SAS	Female
HG04186	BEB	SAS	Female
HG04191	BEB	SAS	Female
HG04192	BEB	SAS	Male
HG04194	BEB	SAS	Female
HG04195	BEB	SAS	Male
HG04198	ITU	SAS	Female
HG04200	ITU	SAS	Male
HG04210	STU	SAS	Female
HG04216	ITU	SAS	Male
HG04227	STU	SAS	Female
NA20846	GIH	SAS	Female
NA20847	GIH	SAS	Male
NA20852	GIH	SAS	Female
NA20853	GIH	SAS	Male
NA20858	GIH	SAS	Female
NA20861	GIH	SAS	Male
NA20863	GIH	SAS	Male
NA20867	GIH	SAS	Male
NA20876	GIH	SAS	Male
NA20885	GIH	SAS	Female
NA20888	GIH	SAS	Male
NA20890	GIH	SAS	Female
NA20896	GIH	SAS	Male
NA20899	GIH	SAS	Female
NA20900	GIH	SAS	Female
NA20901	GIH	SAS	Female
NA21098	GIH	SAS	Male
NA21099	GIH	SAS	Male
NA21102	GIH	SAS	Male
NA21103	GIH	SAS	Female
NA21110	GIH	SAS	Female
NA21111	GIH	SAS	Female
